iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,death_rate
AFG,Asia,Afghanistan,2020-09-08,38494,96,42.571,1415,3,1.286,988.843,2.466,1.094,36.349,0.077,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38928341,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.498,0.03675897542474152
ALB,Europe,Albania,2020-09-08,10406,151,127.571,319,3,5,3615.957,52.471,44.329,110.849,1.042,1.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.785,0.0306553911205074
DZA,Africa,Algeria,2020-09-08,46653,289,308.429,1562,6,7.429,1063.897,6.59,7.034,35.621,0.137,0.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754,0.03348123378989561
AND,Europe,Andorra,2020-09-08,1261,46,12.143,53,0,0,16320.456,595.354,157.159,685.951,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.67,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.858,0.04203013481363997
AGO,Africa,Angola,2020-09-08,2965,30,48.714,117,0,1.429,90.214,0.913,1.482,3.56,0,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.02,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,0.03946037099494098
AIA,North America,Anguilla,2020-09-08,3,0,0,0,0,0,199.973,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.88,NA,0
ATG,North America,Antigua and Barbuda,2020-09-08,95,0,0.143,3,0,0,970.1,0,1.459,30.635,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97928,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.78,0.031578947368421054
ARG,South America,Argentina,2020-09-08,478779,6986,10052.286,9912,105,202,10593.445,154.572,222.416,219.313,2.323,4.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.67,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.825,0.020702662397473575
ARM,Asia,Armenia,2020-09-08,44845,62,152,900,3,3,15133.803,20.923,51.295,303.722,1.012,1.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755,0.020069126992975805
ABW,North America,Aruba,2020-09-08,2482,33,68,15,1,0.714,23247.101,309.087,636.907,140.494,9.366,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.09,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,NA,0.0060435132957292505
