ID,Gender,Posts
1,M,3
2,F,48
3,F,15
4,F,18
5,M,18
6,F,4
7,M,4
8,M,1
9,M,15
10,F,18
11,F,19
12,M,7
13,F,0
14,M,1
15,M,22
16,F,13
17,M,0
18,M,11
19,M,0
20,F,1
21,M,18
22,M,1
23,F,3
24,M,0
25,M,6
26,F,6
27,F,14
28,F,0
29,M,8
30,F,21
31,F,18
32,F,24
33,M,6
34,F,32
35,M,11
36,F,13
37,M,46
38,F,47
39,F,33
40,F,24
41,M,12
42,M,15
43,M,10
44,F,11
45,F,17
46,M,17
47,M,10
48,M,12
49,F,15
50,F,42
51,F,13
52,F,34
53,F,21
54,F,9
55,M,3
56,F,39
57,M,0
58,F,55
59,F,17
60,M,5
61,F,20
62,M,29
63,M,1
