Family,Father,Mother,Sex,Height,Kids,MeanParent,id
1,78.5,67,M,73.2,4,72.75,1
1,78.5,67,F,69.2,4,72.75,2
1,78.5,67,F,69,4,72.75,3
1,78.5,67,F,69,4,72.75,4
2,75.5,66.5,M,73.5,4,71,5
2,75.5,66.5,M,72.5,4,71,6
2,75.5,66.5,F,65.5,4,71,7
2,75.5,66.5,F,65.5,4,71,8
3,75,64,M,71,2,69.5,9
3,75,64,F,68,2,69.5,10
4,75,64,M,70.5,5,69.5,11
4,75,64,M,68.5,5,69.5,12
4,75,64,F,67,5,69.5,13
4,75,64,F,64.5,5,69.5,14
4,75,64,F,63,5,69.5,15
5,75,58.5,M,72,6,66.75,16
5,75,58.5,M,69,6,66.75,17
5,75,58.5,M,68,6,66.75,18
5,75,58.5,F,66.5,6,66.75,19
5,75,58.5,F,62.5,6,66.75,20
5,75,58.5,F,62.5,6,66.75,21
6,74,68,F,69.5,1,71,22
7,74,68,M,76.5,6,71,23
7,74,68,M,74,6,71,24
7,74,68,M,73,6,71,25
7,74,68,M,73,6,71,26
7,74,68,F,70.5,6,71,27
7,74,68,F,64,6,71,28
8,74,66.5,F,70.5,3,70.25,29
8,74,66.5,F,68,3,70.25,30
8,74,66.5,F,66,3,70.25,31
9,74.5,66,F,66,1,70.25,32
10,74,65.5,F,65.5,1,69.75,33
11,74,62,M,74,8,68,34
11,74,62,M,70,8,68,35
11,74,62,F,68,8,68,36
11,74,62,F,67,8,68,37
11,74,62,F,67,8,68,38
11,74,62,F,66,8,68,39
11,74,62,F,63.5,8,68,40
11,74,62,F,63,8,68,41
12,74,61,F,65,1,67.5,42
14,73,67,M,68,2,70,43
14,73,67,M,67,2,70,44
15,73,66.5,M,71,3,69.75,45
15,73,66.5,M,70.5,3,69.75,46
15,73,66.5,F,66.7,3,69.75,47
16,73,65,M,72,9,69,48
16,73,65,M,70.5,9,69,49
16,73,65,M,70.2,9,69,50
16,73,65,M,70.2,9,69,51
16,73,65,M,69.2,9,69,52
16,73,65,F,68.7,9,69,53
16,73,65,F,66.5,9,69,54
16,73,65,F,64.5,9,69,55
16,73,65,F,63.5,9,69,56
17,73,64.5,M,74,6,68.75,57
17,73,64.5,M,73,6,68.75,58
17,73,64.5,M,71.5,6,68.75,59
17,73,64.5,M,62.5,6,68.75,60
17,73,64.5,F,66.5,6,68.75,61
17,73,64.5,F,62.3,6,68.75,62
18,73,64,F,66,3,68.5,63
18,73,64,F,64.5,3,68.5,64
18,73,64,F,64,3,68.5,65
19,73.2,63,F,62.7,1,68.1,66
20,72.7,69,M,73.2,8,70.85,67
20,72.7,69,M,73,8,70.85,68
20,72.7,69,M,72.7,8,70.85,69
20,72.7,69,F,70,8,70.85,70
20,72.7,69,F,69,8,70.85,71
20,72.7,69,F,68.5,8,70.85,72
20,72.7,69,F,68,8,70.85,73
20,72.7,69,F,66,8,70.85,74
21,72,68,M,73,3,70,75
21,72,68,F,68.5,3,70,76
21,72,68,F,68,3,70,77
22,72,67,M,73,3,69.5,78
22,72,67,M,71,3,69.5,79
22,72,67,F,67,3,69.5,80
23,72,65,M,74.2,7,68.5,81
23,72,65,M,70.5,7,68.5,82
23,72,65,M,69.5,7,68.5,83
23,72,65,F,66,7,68.5,84
23,72,65,F,65.5,7,68.5,85
23,72,65,F,65,7,68.5,86
23,72,65,F,65,7,68.5,87
24,72,65.5,F,65.5,1,68.75,88
25,72,64,F,66,2,68,89
25,72,64,F,63,2,68,90
26,72,63,M,70.5,5,67.5,91
26,72,63,M,70.5,5,67.5,92
26,72,63,M,69,5,67.5,93
26,72,63,F,65,5,67.5,94
26,72,63,F,63,5,67.5,95
27,72,63,M,69,3,67.5,96
27,72,63,M,67,3,67.5,97
27,72,63,F,63,3,67.5,98
28,72,63,M,73,6,67.5,99
28,72,63,M,67,6,67.5,100
28,72,63,F,70.5,6,67.5,101
28,72,63,F,70,6,67.5,102
28,72,63,F,66.5,6,67.5,103
28,72,63,F,63,6,67.5,104
29,72.5,63.5,F,67.5,3,68,105
29,72.5,63.5,F,67.2,3,68,106
29,72.5,63.5,F,66.7,3,68,107
30,72,62,F,64,1,67,108
31,72.5,62,M,71,6,67.25,109
31,72.5,62,M,70,6,67.25,110
31,72.5,62,M,70,6,67.25,111
31,72.5,62,F,66,6,67.25,112
31,72.5,62,F,65,6,67.25,113
31,72.5,62,F,65,6,67.25,114
32,72,62,M,74,5,67,115
32,72,62,M,72,5,67,116
32,72,62,M,69,5,67,117
32,72,62,F,67.5,5,67,118
32,72,62,F,63.5,5,67,119
33,72,62,M,72,5,67,120
33,72,62,M,71.5,5,67,121
33,72,62,M,71.5,5,67,122
33,72,62,M,70,5,67,123
33,72,62,F,68,5,67,124
34,72,61,F,65.7,1,66.5,125
35,71,69,M,78,5,70,126
35,71,69,M,74,5,70,127
35,71,69,M,73,5,70,128
35,71,69,M,72,5,70,129
35,71,69,F,67,5,70,130
36,71,67,M,73.2,4,69,131
36,71,67,M,73,4,69,132
36,71,67,M,69,4,69,133
36,71,67,F,67,4,69,134
37,71,66,M,70,4,68.5,135
37,71,66,F,67,4,68.5,136
37,71,66,F,67,4,68.5,137
37,71,66,F,66.5,4,68.5,138
38,71,66,M,70,6,68.5,139
38,71,66,M,69,6,68.5,140
38,71,66,M,68.5,6,68.5,141
38,71,66,F,66,6,68.5,142
38,71,66,F,64.5,6,68.5,143
38,71,66,F,63,6,68.5,144
39,71,66,M,71,2,68.5,145
39,71,66,F,67,2,68.5,146
40,71,66,M,76,5,68.5,147
40,71,66,M,72,5,68.5,148
40,71,66,M,71,5,68.5,149
40,71,66,M,66,5,68.5,150
40,71,66,F,66,5,68.5,151
41,71.7,65.5,M,70.5,1,68.6,152
42,71,65.5,M,72,6,68.25,153
42,71,65.5,M,72,6,68.25,154
42,71,65.5,M,71,6,68.25,155
42,71,65.5,M,69,6,68.25,156
42,71,65.5,F,66,6,68.25,157
42,71,65.5,F,65,6,68.25,158
43,71.5,65.5,M,73,2,68.5,159
43,71.5,65.5,F,65.2,2,68.5,160
44,71.5,65,M,68.5,2,68.25,161
44,71.5,65,M,67.7,2,68.25,162
45,71,65,M,68,3,68,163
45,71,65,M,68,3,68,164
45,71,65,F,62,3,68,165
46,71,64,F,68,8,67.5,166
46,71,64,F,68,8,67.5,167
46,71,64,F,67.5,8,67.5,168
46,71,64,F,66.5,8,67.5,169
46,71,64,F,66.5,8,67.5,170
46,71,64,F,66,8,67.5,171
46,71,64,F,65.5,8,67.5,172
46,71,64,F,65,8,67.5,173
47,71.7,64.5,M,72,4,68.1,174
47,71.7,64.5,M,71,4,68.1,175
47,71.7,64.5,M,70.5,4,68.1,176
47,71.7,64.5,F,67,4,68.1,177
48,71,64,M,68,3,67.5,178
48,71,64,M,68,3,67.5,179
48,71,64,M,68,3,67.5,180
49,71.5,64.5,M,72,7,68,181
49,71.5,64.5,M,71,7,68,182
49,71.5,64.5,M,70,7,68,183
49,71.5,64.5,F,66,7,68,184
49,71.5,64.5,F,64.5,7,68,185
49,71.5,64.5,F,64.5,7,68,186
49,71.5,64.5,F,62,7,68,187
51,71.2,63,F,67.5,2,67.1,188
51,71.2,63,F,64.5,2,67.1,189
52,71,63.5,M,71,5,67.25,190
52,71,63.5,M,67,5,67.25,191
52,71,63.5,F,66,5,67.25,192
52,71,63.5,F,65,5,67.25,193
52,71,63.5,F,63.5,5,67.25,194
53,71,63,M,71,9,67,195
53,71,63,M,70,9,67,196
53,71,63,M,70,9,67,197
53,71,63,M,64,9,67,198
53,71,63,F,65,9,67,199
53,71,63,F,65,9,67,200
53,71,63,F,64,9,67,201
53,71,63,F,63,9,67,202
53,71,63,F,63,9,67,203
54,71,63,M,71,4,67,204
54,71,63,M,71,4,67,205
54,71,63,M,70,4,67,206
54,71,63,F,63.5,4,67,207
55,71,62,M,71,5,66.5,208
55,71,62,M,70,5,66.5,209
55,71,62,F,64.5,5,66.5,210
55,71,62,F,62.5,5,66.5,211
55,71,62,F,61.5,5,66.5,212
56,71,62,M,72,5,66.5,213
56,71,62,M,70.5,5,66.5,214
56,71,62,M,70.5,5,66.5,215
56,71,62,F,64.5,5,66.5,216
56,71,62,F,60,5,66.5,217
57,71,62.5,M,70,5,66.75,218
57,71,62.5,F,64,5,66.75,219
57,71,62.5,F,64,5,66.75,220
57,71,62.5,F,64,5,66.75,221
57,71,62.5,F,62.5,5,66.75,222
58,71,62,M,70.5,7,66.5,223
58,71,62,M,70,7,66.5,224
58,71,62,M,69,7,66.5,225
58,71,62,M,69,7,66.5,226
58,71,62,M,66,7,66.5,227
58,71,62,F,64.5,7,66.5,228
58,71,62,F,64,7,66.5,229
59,71,61,F,62,1,66,230
60,71,58,M,71.5,2,64.5,231
60,71,58,M,69,2,64.5,232
61,70,69,M,71,4,69.5,233
61,70,69,M,70,4,69.5,234
61,70,69,M,69,4,69.5,235
61,70,69,F,69,4,69.5,236
62,70,69,M,70,6,69.5,237
62,70,69,M,68.7,6,69.5,238
62,70,69,F,68,6,69.5,239
62,70,69,F,66,6,69.5,240
62,70,69,F,64,6,69.5,241
62,70,69,F,62,6,69.5,242
63,70,68,M,75,1,69,243
64,70,67,M,70,5,68.5,244
64,70,67,M,69,5,68.5,245
64,70,67,F,66,5,68.5,246
64,70,67,F,64,5,68.5,247
64,70,67,F,60,5,68.5,248
65,70,67,F,67.5,1,68.5,249
66,70,66.5,M,73,11,68.25,250
66,70,66.5,M,72,11,68.25,251
66,70,66.5,M,72,11,68.25,252
66,70,66.5,M,66.5,11,68.25,253
66,70,66.5,F,69.2,11,68.25,254
66,70,66.5,F,67.2,11,68.25,255
66,70,66.5,F,66.5,11,68.25,256
66,70,66.5,F,66,11,68.25,257
66,70,66.5,F,66,11,68.25,258
66,70,66.5,F,64.2,11,68.25,259
66,70,66.5,F,63.7,11,68.25,260
67,70.5,65,M,72,4,67.75,261
67,70.5,65,M,70.2,4,67.75,262
67,70.5,65,M,69,4,67.75,263
67,70.5,65,M,68.5,4,67.75,264
68,70.5,65,F,68,5,67.75,265
68,70.5,65,F,65,5,67.75,266
68,70.5,65,F,61.5,5,67.75,267
68,70.5,65,F,61,5,67.75,268
68,70.5,65,F,61,5,67.75,269
69,70,65,M,73,8,67.5,270
69,70,65,M,72,8,67.5,271
69,70,65,M,70.5,8,67.5,272
69,70,65,M,65,8,67.5,273
69,70,65,M,65,8,67.5,274
69,70,65,F,64.5,8,67.5,275
69,70,65,F,63,8,67.5,276
69,70,65,F,62,8,67.5,277
70,70,65,M,67,5,67.5,278
70,70,65,M,65,5,67.5,279
70,70,65,F,64.5,5,67.5,280
70,70,65,F,62.5,5,67.5,281
70,70,65,F,62.5,5,67.5,282
71,70,65,M,70,6,67.5,283
71,70,65,M,70,6,67.5,284
71,70,65,F,67,6,67.5,285
71,70,65,F,65,6,67.5,286
71,70,65,F,65,6,67.5,287
71,70,65,F,63,6,67.5,288
72,70,65,M,79,7,67.5,289
72,70,65,M,75,7,67.5,290
72,70,65,M,71,7,67.5,291
72,70,65,F,69,7,67.5,292
72,70,65,F,67,7,67.5,293
72,70,65,F,65.7,7,67.5,294
72,70,65,F,62,7,67.5,295
73,70,65,M,73,3,67.5,296
73,70,65,M,72.5,3,67.5,297
73,70,65,F,65,3,67.5,298
74,70,65,M,69,2,67.5,299
74,70,65,M,69,2,67.5,300
75,70,64.7,M,72,7,67.35,301
75,70,64.7,M,70,7,67.35,302
75,70,64.7,M,68.7,7,67.35,303
75,70,64.7,F,66.5,7,67.35,304
75,70,64.7,F,65.5,7,67.35,305
75,70,64.7,F,64.7,7,67.35,306
75,70,64.7,F,64.5,7,67.35,307
76,70,64,M,70.7,7,67,308
76,70,64,M,70,7,67,309
76,70,64,M,68,7,67,310
76,70,64,M,67,7,67,311
76,70,64,M,66,7,67,312
76,70,64,M,65,7,67,313
